station_id,station_name,latitude,longitude,neighborhood
7438,Gothic Ave / Quebec Ave,43.653890,-79.467500,Bloor St W - High Park
7441,Pacific Ave / Glenlake Ave,43.657160,-79.464780,Bloor St W - High Park
7442,Lonsdale Rd / Spadina Rd,43.688526,-79.412903,St Clair Ave W
7443,Dundas St E / George St,43.657477,-79.373446,Regent Park - Distillery
7444,Clendenan Ave / Rowland St - SMART,43.660730,-79.471490,Bloor St W - High Park
7445,Eastwood Rd / Coxwell Ave,43.673118,-79.318651,Leslieville - Woodbine
7446,Orchard Park,43.669080,-79.314900,Leslieville - Woodbine
7447,Trent Ave / Danforth Ave,43.689293,-79.295895,Danforth
7448,Goodwood Park Crt / Dentonia Park,43.694826,-79.295208,Danforth
7449,Cosburn Ave / Cedarvale Ave,43.697139,-79.314690,Danforth
7450,Carlaw Ave / Danforth Ave,43.678248,-79.347097,East
7451,Western Battery Rd / Pirandello St,43.640075,-79.414156,Liberty Village - Queen West
7452,Bleecker St / St James Ave,43.669232,-79.374495,Church Wellesley / Yorkville
7453,Jarvis St / Maitland Pl,43.664769,-79.377260,Church Wellesley / Yorkville
7454,Pottery Rd / Lower Don River Trail,43.688148,-79.362101,Davenport - Dupont
7455,E.T. Seton Park (Eglinton Ave E / Leslie St),43.715951,-79.351246,Thorncliffe Park - Sunnybrook
7457,Queen's Park Cres W / Hoskin Ave,43.665221,-79.394009,U of T - Hospital Row
7458,Church St / Lombard St,43.651678,-79.375233,Financial District
7459,St. Clair Ave W / Winona Dr,43.680466,-79.432522,St Clair Ave W
7460,High Park Outdoor Pool,43.650154,-79.464934,Bloor St W - High Park
7461,High Park Amphitheatre,43.646251,-79.464720,Bloor St W - High Park
7462,Richmond St E / Yonge St,43.651838,-79.378743,Financial District
7465,Russell Hill Rd / St. Clair Ave W,43.685569,-79.408019,St Clair Ave W
7466,Glendonwynne Rd / Bloor St W,43.651820,-79.474210,Bloor St W - High Park
7467,Lower Simcoe St / Bremner Blvd,43.642830,-79.384090,Waterfront
7468,Front St W / Simcoe St,43.644480,-79.386988,Waterfront
7469,York St / Wellington St W (1) ,43.646734,-79.383010,Financial District
7471,2300 Lakeshore Blvd W,43.618680,-79.486740,Humber Bay Shores
7473,Adelaide St W / Strachan Ave,43.643253,-79.412305,Liberty Village - Queen West
7474,Clarence Square,43.644070,-79.392900,Fort York - Entertainment District
7475,Jarvis St / Richmond St E,43.652777,-79.372637,Financial District
7476,Symington Ave / Dupont St,43.665538,-79.451263,Davenport - Dupont
7477,Antler St / Campbell Ave - SMART,43.664182,-79.449066,Davenport - Dupont
7478,Ellis Ave / The Queensway,43.638550,-79.466930,Humber Bay Shores
7479,Jane St / Bloor St W (Jane Subway Station),43.649760,-79.484770,Bloor St W - High Park
7480,Neil McLellan Park,43.651430,-79.477790,Bloor St W - High Park
7483,Southwood Dr / Kingston Rd - SMART,43.678685,-79.297974,Leslieville - Woodbine
7484,Briar Hill Ave / Yonge St - SMART,43.713524,-79.400162,Mid Town
7485,Blythwood Rd / Yonge St - SMART,43.716652,-79.399993,Mid Town
7486,Gerrard St E / Main St,43.684261,-79.299332,Leslieville - Woodbine
7487,Eastwood Rd / Woodbine Ave - SMART,43.676216,-79.309395,Leslieville - Woodbine
7488,Summerhill Ave / Maclennan Ave,43.685924,-79.376304,Davenport - Dupont
7489,Sumach St  / Queen St E,43.656638,-79.358749,Regent Park - Distillery
7492,Cherry St / Lake Shore Blvd E,43.648270,-79.356517,Waterfront
7493,Sackville St / Eastern Ave - SMART,43.653809,-79.359500,Regent Park - Distillery
7494,Davenport Rd / McAlpine St - SMART,43.673768,-79.391253,Davenport - Dupont
7496,Sunnyside Ave / The Queensway - SMART,43.639700,-79.448650,Liberty Village - Queen West
7497,128 Sterling Rd - SMART,43.654004,-79.444792,College St - Harbord St
7501,Humberside Grounds - SMART,43.659170,-79.469970,Bloor St W - High Park
7502,University Ave / College St (East),43.659950,-79.389640,U of T - Hospital Row
7503,Gerrard St E / Malvern Ave - SMART,43.685221,-79.294766,Leslieville - Woodbine
7504,Gerrard St E / Victoria Park Ave - SMART,43.686962,-79.286864,Leslieville - Woodbine
7505,Ontario St / Adelaide St E -SMART,43.653505,-79.366769,Regent Park - Distillery
7506,Berkeley St / Adelaide St E - SMART,43.653269,-79.364820,Regent Park - Distillery
7508,Berkeley St / Dundas St E - SMART,43.658816,-79.367318,Regent Park - Distillery
7514,Humber Bay Shores Park / Marine Parade Dr,43.626265,-79.476723,Humber Bay Shores
7515,Amos Waites Park,43.613606,-79.488354,Humber Bay Shores
7516,Superior Ave / Lake Shore Blvd W,43.614669,-79.487315,Humber Bay Shores
7517,Ripley Ave / Ormskirk Ave,43.639044,-79.476011,Bloor St W - High Park
7518,Lake Shore Blvd W / Colborne Lodge Dr,43.637710,-79.458173,Humber Bay Shores
